country,first_wave_cases,second_wave_cases,absolute_reduction,percentage_reduction,first_wave_stringency,second_wave_stringency,first_wave_duration,second_wave_duration
Austria       ,1229261.0,67066.0,1162195.0,94.54,31.0,36.19565217391305,6220.0,3867.0
Belgium       ,2016047.0,144343.0,1871704.0,92.84,27.441860465116278,22.8125,7945.0,1841.0
Bulgaria      ,734440.0,44727.0,689713.0,93.91,30.0,23.46153846153846,5067.0,2680.0
Croatia       ,690330.0,43230.0,647100.0,93.74,30.403225806451612,21.73076923076923,8047.0,2283.0
Cyprus        ,156916.0,15218.0,141698.0,90.3,32.093023255813954,28.796296296296298,5649.0,4279.0
Denmark       ,721667.0,61381.0,660286.0,91.49,27.093023255813954,22.844827586206897,5519.0,1335.0
Estonia       ,214292.0,20508.0,193784.0,90.43,24.88095238095238,24.7972972972973,4985.0,3686.0
Finland       ,265252.0,23454.0,241798.0,91.16,24.0,23.333333333333332,7563.0,311.0
France        ,9701814.0,713475.0,8988339.0,92.65,32.833333333333336,24.125,4938.0,3222.0
Germany       ,6798386.0,542151.0,6256235.0,92.03,27.916666666666668,22.833333333333332,5526.0,3498.0
Greece        ,1204523.0,99963.0,1104560.0,91.7,32.73255813953488,30.0,6479.0,2789.0
Hungary       ,1211030.0,89965.0,1121065.0,92.57,27.82051282051282,23.28125,4912.0,2130.0
Iceland       ,29400.0,1697.0,27703.0,94.23,22.894736842105264,21.691176470588236,3451.0,2740.0
Ireland       ,722957.0,55143.0,667814.0,92.37,30.99056603773585,24.545454545454547,8143.0,2504.0
Italy         ,6337321.0,368105.0,5969216.0,94.19,30.129310344827587,26.25,6676.0,3163.0
Latvia        ,261660.0,20246.0,241414.0,92.26,24.146341463414632,25.238095238095237,8173.0,1857.0
Liechtenstein ,5798.0,508.0,5290.0,91.24,28.68421052631579,20.526315789473685,4621.0,3131.0
Lithuania     ,542347.0,32316.0,510031.0,94.04,28.61111111111111,23.0,6335.0,3064.0
Luxembourg    ,104127.0,6110.0,98017.0,94.13,29.0625,26.5625,5868.0,2256.0
Malta         ,50835.0,3891.0,46944.0,92.35,30.104166666666668,27.6,6131.0,3346.0
Netherlands   ,2930364.0,255315.0,2675049.0,91.29,26.7578125,26.5625,6833.0,3853.0
Norway        ,359675.0,45975.0,313700.0,87.22,25.178571428571427,23.125,4899.0,2239.0
Poland        ,3923894.0,279693.0,3644201.0,92.87,28.545454545454547,20.673076923076923,9501.0,2686.0
Portugal      ,1388720.0,67898.0,1320822.0,95.11,31.875,27.2,5479.0,2139.0
Romania       ,1753139.0,119670.0,1633469.0,93.17,26.794871794871796,26.25,8797.0,2407.0
Slovakia      ,1288229.0,105910.0,1182319.0,91.78,25.9375,26.203703703703702,6284.0,3371.0
Slovenia      ,448614.0,25172.0,423442.0,94.39,30.5,25.071428571428573,6023.0,4065.0
Spain         ,6598937.0,384157.0,6214780.0,94.18,28.5,40.9375,6208.0,1131.0
Sweden        ,1283145.0,79517.0,1203628.0,93.8,22.666666666666668,25.694444444444443,5000.0,1503.0
